Week Number,Month,Day (approx),Home Team Index,Away Team Index,Home Team Score,Away Team Score,Winning Team Index
1,4,6,12,8,15,36,12
1,4,6,17,18,0,44,17
1,4,6,10,11,12,6,10
1,4,6,16,15,20,0,16
1,4,6,7,9,48,0,7
1,4,6,1,4,21,7,1
1,4,6,3,6,0,9,6
1,4,6,2,5,22,30,5
2,4,13,5,1,7,24,1
2,4,13,7,10,21,7,7
2,4,13,9,17,40,0,9
2,4,13,11,8,0,18,8
2,4,13,15,12,0,26,12
2,4,13,2,6,34,7,2
2,4,13,18,16,0,13,16
2,4,13,4,3,7,14,3
3,4,20,3,5,0,14,5
3,4,20,1,2,27,6,1
3,4,20,8,7,15,14,8
3,4,20,15,9,9,15,9
3,4,20,12,18,31,9,12
3,4,20,16,17,49,0,16
4,4,27,10,3,14,8,10
4,4,27,17,12,15,48,12
4,4,27,6,4,0,21,4
4,4,27,7,11,44,12,7
4,4,27,18,15,0,9,15
4,4,27,1,16,12,6,1
5,5,4,4,10,7,23,10
5,5,4,9,8,25,30,8
5,5,4,6,2,8,29,2
5,5,4,11,5,26,0,11
6,5,11,10,9,0,10,9
6,5,11,2,3,21,18,2
6,5,11,15,18,2,0,15
6,5,11,6,1,0,54,1
6,5,11,11,7,8,34,7
6,5,11,8,16,18,0,8
6,5,11,5,4,12,15,4
6,5,11,12,17,50,12,12
P1,5,18,17,15,8,32,15
P1,5,18,3,1,0,27,1
P1,5,18,4,2,28,43,2
P1,5,18,5,6,39,0,5
P1,5,18,9,11,19,0,9
P1,5,18,8,10,18,0,8
P1,5,18,16,12,0,0,0
P1,5,18,18,7,0,2,7
