Week Number,Month,Day (approx),Home Team Index,Away Team Index,Home Team Score,Away Team Score,Winning Team Index
1,3,29,17,15,0,24,15
1,3,29,13,14,27,22,13
1,3,29,9,7,20,14,9
1,3,29,10,8,0,33,8
1,3,29,1,5,40,6,1
1,3,29,2,4,51,6,2
1,3,29,6,3,2,31,3
1,3,29,12,16,46,17,12
2,4,5,14,12,0,14,12
2,4,5,8,9,35,9,8
2,4,5,16,17,26,0,16
2,4,5,7,2,42,0,7
2,4,5,11,10,6,13,10
2,4,5,4,6,13,0,4
3,4,12,2,1,3,44,1
3,4,12,3,7,0,39,7
3,4,12,4,5,18,12,4
3,4,12,14,15,17,6,14
3,4,12,8,11,54,0,8
3,4,12,13,12,15,18,12
4,4,19,1,3,20,0,1
4,4,19,9,10,41,7,9
4,4,19,16,14,24,21,16
4,4,19,5,6,14,13,5
4,4,19,17,13,0,50,13
5,4,26,4,1,0,20,1
5,4,26,7,8,27,6,7
5,4,26,5,2,6,33,2
5,4,26,15,16,9,6,15
5,4,26,11,9,0,1,9
6,5,3,14,17,20,11,14
6,5,3,9,15,12,0,9
6,5,3,12,11,55,0,12
6,5,3,2,3,32,8,2
6,5,3,6,4,28,25,6
6,5,3,10,7,0,51,7
6,5,3,16,13,8,31,13
7,5,10,7,11,61,0,7
7,5,10,5,10,24,7,5
7,5,10,17,8,8,45,8
7,5,10,3,4,44,0,3
7,5,10,1,6,44,0,1
7,5,10,12,14,37,0,12
7,5,10,15,13,6,42,15
8,5,17,10,1,0,33,1
8,5,17,11,17,7,14,17
8,5,17,15,12,0,26,12
8,5,17,8,16,6,0,8
8,5,17,6,2,0,52,2
8,5,17,3,5,24,6,3
8,5,17,13,9,14,10,13
P1,6,5,7,2,15,0,7
P1,6,5,12,9,13,0,12
P1,6,5,1,3,33,9,1
P1,6,5,8,13,35,23,8
P2,6,7,1,7,0,36,7
P2,6,7,12,8,13,10,12
P3,6,21,7,12,21,19,7
