player_name,player_number,position,height,weight,birth_year,hometown,home_state,school,passing_yards,passing_comp,passing_att,passing_pct,passing_td,passing_int,passing_long,passing_rating,rushing_yards,rushing_carries,rushing_long,rushing_td,receiving_yards,receiving_rec,receiving_long,receiving_td,tackles_solo,tackles_assists,tackles_for_loss,sacks,forced_fumbles,interceptions,interception_return_yards,interception_return_long,interception_return_td,fumble_recoveries,fumble_return_yards,fumble_return_long,fumble_return_td,pass_deflections,blocked_kicks_and_punts,kickoff_returns,kickoff_returns_yards,kickoff_returns_long,kickoff_returns_td,punt_returns,punt_return_yards,punt_return_long,punt_return_td,punts,punting_yards,punting_touchbacks,punting_long,touchdowns,field_goals,field_goal_att,field_goal_long,pat_kicks,pat_kicks_att,safeties,pat_conversions,season,team,nr
Ashaniti Broxey,24.0,DB,5-4,155,1992,Live Oak,FL,Belmont Abbey College,0,0,0,0.0,0,0,0,0.0,7.0,1,7,0,180,15,37,1,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,148,12.3,0,2,2,2,0,0,0,0,0,1,0,0,0,1,1,0,0,2023,Avengers,
Jessica Salazar,25.0,DB,5-7,175,1987,Miami,FL,Florida International University,0,0,0,0.0,0,0,0,0.0,19.0,23,5,0,17,4,12,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Rose Bruce,27.0,OL,5-8,240,1991,Dayton,OH,University of Toledo,0,0,0,0.0,0,0,0,0.0,1.0,2,1,0,0,0,0,0,6.0,2.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Margo Smith,28.0,DB,5-3,155,1993,Mansfield,LA,Mansfield High School,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,8,1,8,0,1.0,4.0,0.5,0.0,0,0,0,0,0,0,0,0,0,4,0,2,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Elizia Casillas,29.0,WR,5-5,140,NR,NR,NR,NR,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Alexandra Holliday,30.0,WR,5-7,120,1992,Lakeland,FL,University of South Florida,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Chelsea Parrish,32.0,RB,5-7,210,1990,New London,CT,Savannah State University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,50,6,18,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
LaRoyia Bauer,33.0,LB,5-6,200,1987,Ft Worth,TX,Tarrant County Comm Coll,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,16.0,7.0,2.0,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Yanah Floridis,44.0,DB,5-4,163,1987,Brisbane,Australia,Queensland University of Technology,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,4.0,5.0,1.0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,321,0,33,0,0,0,0,0,0,0,0,2023,Avengers,
Khadijah Jones,45.0,DB,5-5,140,1994,Citra,FL,City College of Gainesville,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
